Type	GEO (Labels)	GEO (Codes)	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017	2018	2019	2020	2021	2022
MS	Finland	FI	0	0	5720	21904	173	26	34687	199	0	1449	1108	5027	45	513	3443	1244	718	2503	23703	20169	12039	12358	9803
MS	Sweden	SE	0	65	1286	10293	2739	769	8286	567	2120	5854	5493	1486	76	913	3148	7764	8208	14492	50914	19878	14769	15533	15516
EFTA	Iceland	IS	857	3	43	0	3	65	9	39	18	36	3	71	142	253	151	918	75	537	2202	3701	299	8687	1748
EFTA	Liechtenstein	LI	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	5	1	15	47	5	15	0	4
EFTA	Norway	NO	4	57	3027	4445	125	46	595	2	2153	439	1253	1741	730	2667	12109	4197	2092	848	13898	4767	4668	16250	7515
EFTA	Switzerland	CH	0	3	6	2213	33	95	334	12	1	644	538	2706	458	95	26	1107	121	2150	5954	2717	3063	405	5860
CC	Bosnia and Herzegovina	BA	18633	3	150	17408	0	0	0	149	0	24	0	554	6692	947	1	447	0	2137	7	27	856	2000	24121
CC	Montenegro	ME	1719	0	0	874	0	0	0	0	0	0	0	405	4054	4	0	274	0	1090	8	36	164	575	3446
CC	North Macedonia	MK	1089	3519	0	3	0	0	0	328	0	0	0	1	484	3	0	0	0	1930	1	34	11	26	729
CC	Albania	AL	1625	205	11	2890	0	0	0	1445	256	1	0	219	703	0	0	647	9	4104	35	273	643	1465	4290
CC	Serbia	RS	32691	2962	237	4738	0	0	0	3671	0	46	0	481	14525	1583	8	419	0	2752	11	52	456	1333	12015
CC	Türkiye	TR	25903	56615	9	14298	3350	929	7993	109831	106247	1651	5925	96	1536	6851	46583	135	20321	49446	6723	12486	24308	149783	64719
CC (potential)	Kosovo (under United Nations Security Council Resolution 1244/99)	XK	1287	403	2	155	0	0	0	0	0	0	0	47	1146	2	0	18	0	8	0	662	297	775	1210
