country,year,drought_impact
France,2001,279
France,2002,5087
France,2003,107990
France,2004,2083
France,2005,20358
France,2006,1413
France,2007,2438
France,2008,3307
France,2009,2228
France,2010,8753
France,2011,70682
France,2012,12960
France,2013,8
France,2014,1229
France,2015,1324
France,2016,3514
France,2017,28016
France,2018,2040
France,2019,62266
France,2020,58017
France,2021,1321
France,2022,229592
Croatia,2000,6651
Croatia,2001,1
Croatia,2002,53
Croatia,2003,20624
Croatia,2004,0
Croatia,2005,0
Croatia,2006,0
Croatia,2007,282
Croatia,2008,2
Croatia,2009,179
Croatia,2010,0
Croatia,2011,5300
Croatia,2012,20017
Croatia,2013,1
Croatia,2014,6
Croatia,2015,634
Croatia,2016,2
Croatia,2017,5680
Croatia,2018,49
Croatia,2019,72
Croatia,2020,1487
Croatia,2021,507
Croatia,2022,15651
Italy,2000,11532
Italy,2001,10979
Italy,2002,24908
Italy,2003,14944
Italy,2004,504
Italy,2005,1436
Italy,2006,4204
Italy,2007,19679
Italy,2008,10568
Italy,2009,1771
Italy,2010,1095
Italy,2011,5717
Italy,2012,29948
Italy,2013,703
Italy,2014,670
Italy,2015,2707
Italy,2016,6286
Italy,2017,48356
Italy,2018,2643
Italy,2019,2366
Italy,2020,4732
Italy,2021,7590
Italy,2022,52265
Cyprus,2000,47
Cyprus,2001,0
Cyprus,2002,0
Cyprus,2003,0
Cyprus,2004,0
Cyprus,2005,0
Cyprus,2006,165
Cyprus,2007,11
Cyprus,2008,4333
Cyprus,2009,0
Cyprus,2010,0
Cyprus,2011,37
Cyprus,2012,0
Cyprus,2013,1
Cyprus,2014,5023
Cyprus,2015,0
Cyprus,2016,4454
Cyprus,2017,749
Cyprus,2018,1203
Cyprus,2019,0
Cyprus,2020,5
Cyprus,2021,568
Cyprus,2022,197
Latvia,2000,360
Latvia,2001,0
Latvia,2002,8904
Latvia,2003,8092
Latvia,2004,7
Latvia,2005,0
Latvia,2006,15296
Latvia,2007,0
Latvia,2008,241
Latvia,2009,2518
Latvia,2010,5010
Latvia,2011,9
Latvia,2012,34
Latvia,2013,161
Latvia,2014,522
Latvia,2015,228
Latvia,2016,539
Latvia,2017,135
Latvia,2018,5043
Latvia,2019,12641
Latvia,2020,1171
Latvia,2021,1632
Latvia,2022,869
Lithuania,2000,8
Lithuania,2001,0
Lithuania,2002,18618
Lithuania,2003,3650
Lithuania,2004,0
Lithuania,2005,14
Lithuania,2006,5580
Lithuania,2007,0
Lithuania,2008,1432
Lithuania,2009,1198
Lithuania,2010,254
Lithuania,2011,0
Lithuania,2012,25
Lithuania,2013,0
Lithuania,2014,2
Lithuania,2015,1304
Lithuania,2016,69
Lithuania,2017,5
Lithuania,2018,11963
Lithuania,2019,32239
Lithuania,2020,2814
Lithuania,2021,267
Lithuania,2022,19
Luxembourg,2000,0
Luxembourg,2001,0
Luxembourg,2002,0
Luxembourg,2003,0
Luxembourg,2004,0
Luxembourg,2005,0
Luxembourg,2006,0
Luxembourg,2007,0
Luxembourg,2008,0
Luxembourg,2009,0
Luxembourg,2010,0
Luxembourg,2011,1105
Luxembourg,2012,0
Luxembourg,2013,0
Luxembourg,2014,0
Luxembourg,2015,0
Luxembourg,2016,0
Luxembourg,2017,342
Luxembourg,2018,568
Luxembourg,2019,764
Luxembourg,2020,1913
Luxembourg,2021,0
Luxembourg,2022,1855
Hungary,2000,2860
Hungary,2001,393
Hungary,2002,3279
Hungary,2003,16764
Hungary,2004,0
Hungary,2005,0
Hungary,2006,0
Hungary,2007,5394
Hungary,2008,0
Hungary,2009,422
Hungary,2010,0
Hungary,2011,434
Hungary,2012,40308
Hungary,2013,0
Hungary,2014,418
Hungary,2015,3304
Hungary,2016,0
Hungary,2017,2100
Hungary,2018,0
Hungary,2019,1021
Hungary,2020,345
Hungary,2021,1217
Hungary,2022,19962
Malta,2000,0
Malta,2001,0
Malta,2002,21
Malta,2003,0
Malta,2004,0
Malta,2005,0
Malta,2006,0
Malta,2007,0
Malta,2008,0
Malta,2009,0
Malta,2010,148
Malta,2011,0
Malta,2012,0
Malta,2013,78
Malta,2014,0
Malta,2015,0
Malta,2016,230
Malta,2017,0
Malta,2018,49
Malta,2019,0
Malta,2020,2
Malta,2021,3
Malta,2022,3
Netherlands,2000,0
Netherlands,2001,0
Netherlands,2002,0
Netherlands,2003,73
Netherlands,2004,1
Netherlands,2005,0
Netherlands,2006,0
Netherlands,2007,0
Netherlands,2008,0
Netherlands,2009,1
Netherlands,2010,0
Netherlands,2011,1
Netherlands,2012,0
Netherlands,2013,0
Netherlands,2014,9
Netherlands,2015,0
Netherlands,2016,9
Netherlands,2017,15
Netherlands,2018,11964
Netherlands,2019,2038
Netherlands,2020,6410
Netherlands,2021,0
Netherlands,2022,5037
Austria,2000,4332
Austria,2001,6075
Austria,2002,2817
Austria,2003,23954
Austria,2004,1405
Austria,2005,450
Austria,2006,605
Austria,2007,2328
Austria,2008,27
Austria,2009,70
Austria,2010,1068
Austria,2011,1744
Austria,2012,2297
Austria,2013,6
Austria,2014,25
Austria,2015,5953
Austria,2016,138
Austria,2017,2076
Austria,2018,6694
Austria,2019,2449
Austria,2020,351
Austria,2021,929
Austria,2022,7458
Poland,2000,7344
Poland,2001,28
Poland,2002,6797
Poland,2003,48901
Poland,2004,8068
Poland,2005,4778
Poland,2006,18263
Poland,2007,759
Poland,2008,43
Poland,2009,49
Poland,2010,31
Poland,2011,1
Poland,2012,25342
Poland,2013,835
Poland,2014,641
Poland,2015,65308
Poland,2016,13162
Poland,2017,3776
Poland,2018,24115
Poland,2019,53992
Poland,2020,11442
Poland,2021,4679
Poland,2022,27173
Portugal,2000,0
Portugal,2001,1
Portugal,2002,3420
Portugal,2003,0
Portugal,2004,4
Portugal,2005,57069
Portugal,2006,38
Portugal,2007,0
Portugal,2008,277
Portugal,2009,14073
Portugal,2010,5
Portugal,2011,2483
Portugal,2012,34331
Portugal,2013,38
Portugal,2014,66
Portugal,2015,3839
Portugal,2016,0
Portugal,2017,2029
Portugal,2018,21
Portugal,2019,3560
Portugal,2020,24
Portugal,2021,3
Portugal,2022,31267
Romania,2000,32962
Romania,2001,3849
Romania,2002,5056
Romania,2003,36254
Romania,2004,1228
Romania,2005,0
Romania,2006,0
Romania,2007,18561
Romania,2008,1065
Romania,2009,3019
Romania,2010,0
Romania,2011,514
Romania,2012,48038
Romania,2013,3107
Romania,2014,1552
Romania,2015,5021
Romania,2016,719
Romania,2017,3520
Romania,2018,121
Romania,2019,952
Romania,2020,32200
Romania,2021,300
Romania,2022,34462
Slovenia,2000,1572
Slovenia,2001,1
Slovenia,2002,124
Slovenia,2003,8502
Slovenia,2004,1
Slovenia,2005,1
Slovenia,2006,2
Slovenia,2007,74
Slovenia,2008,0
Slovenia,2009,6
Slovenia,2010,6
Slovenia,2011,1211
Slovenia,2012,3783
Slovenia,2013,16
Slovenia,2014,0
Slovenia,2015,114
Slovenia,2016,50
Slovenia,2017,2189
Slovenia,2018,52
Slovenia,2019,116
Slovenia,2020,231
Slovenia,2021,409
Slovenia,2022,10574
Slovakia,2000,576
Slovakia,2001,0
Slovakia,2002,338
Slovakia,2003,8806
Slovakia,2004,23
Slovakia,2005,0
Slovakia,2006,13
Slovakia,2007,585
Slovakia,2008,0
Slovakia,2009,17
Slovakia,2010,0
Slovakia,2011,16
Slovakia,2012,14123
Slovakia,2013,873
Slovakia,2014,476
Slovakia,2015,4758
Slovakia,2016,525
Slovakia,2017,3816
Slovakia,2018,1100
Slovakia,2019,499
Slovakia,2020,44
Slovakia,2021,119
Slovakia,2022,10100
Finland,2000,0
Finland,2001,0
Finland,2002,5720
Finland,2003,21904
Finland,2004,173
Finland,2005,26
Finland,2006,34687
Finland,2007,199
Finland,2008,0
Finland,2009,1449
Finland,2010,1108
Finland,2011,5027
Finland,2012,45
Finland,2013,513
Finland,2014,3443
Finland,2015,1244
Finland,2016,718
Finland,2017,2503
Finland,2018,23703
Finland,2019,20169
Finland,2020,12039
Finland,2021,12358
Finland,2022,9803
Sweden,2000,0
Sweden,2001,65
Sweden,2002,1286
Sweden,2003,10293
Sweden,2004,2739
Sweden,2005,769
Sweden,2006,8286
Sweden,2007,567
Sweden,2008,2120
Sweden,2009,5854
Sweden,2010,5493
Sweden,2011,1486
Sweden,2012,76
Sweden,2013,913
Sweden,2014,3148
Sweden,2015,7764
Sweden,2016,8208
Sweden,2017,14492
Sweden,2018,50914
Sweden,2019,19878
Sweden,2020,14769
Sweden,2021,15533
Sweden,2022,15516
Iceland,2000,857
Iceland,2001,3
Iceland,2002,43
Iceland,2003,0
Iceland,2004,3
Iceland,2005,65
Iceland,2006,9
Iceland,2007,39
Iceland,2008,18
Iceland,2009,36
Iceland,2010,3
Iceland,2011,71
Iceland,2012,142
Iceland,2013,253
Iceland,2014,151
Iceland,2015,918
Iceland,2016,75
Iceland,2017,537
Iceland,2018,2202
Iceland,2019,3701
Iceland,2020,299
Iceland,2021,8687
Iceland,2022,1748
Liechtenstein,2000,0
Liechtenstein,2001,0
Liechtenstein,2002,0
Liechtenstein,2003,0
Liechtenstein,2004,0
Liechtenstein,2005,0
Liechtenstein,2006,0
Liechtenstein,2007,0
Liechtenstein,2008,0
Liechtenstein,2009,0
Liechtenstein,2010,0
Liechtenstein,2011,5
Liechtenstein,2012,0
Liechtenstein,2013,0
Liechtenstein,2014,0
Liechtenstein,2015,5
Liechtenstein,2016,1
Liechtenstein,2017,15
Liechtenstein,2018,47
Liechtenstein,2019,5
Liechtenstein,2020,15
Liechtenstein,2021,0
Liechtenstein,2022,4
Norway,2000,4
Norway,2001,57
Norway,2002,3027
Norway,2003,4445
Norway,2004,125
Norway,2005,46
Norway,2006,595
Norway,2007,2
Norway,2008,2153
Norway,2009,439
Norway,2010,1253
Norway,2011,1741
Norway,2012,730
Norway,2013,2667
Norway,2014,12109
Norway,2015,4197
Norway,2016,2092
Norway,2017,848
Norway,2018,13898
Norway,2019,4767
Norway,2020,4668
Norway,2021,16250
Norway,2022,7515
Switzerland,2000,0
Switzerland,2001,3
Switzerland,2002,6
Switzerland,2003,2213
Switzerland,2004,33
Switzerland,2005,95
Switzerland,2006,334
Switzerland,2007,12
Switzerland,2008,1
Switzerland,2009,644
Switzerland,2010,538
Switzerland,2011,2706
Switzerland,2012,458
Switzerland,2013,95
Switzerland,2014,26
Switzerland,2015,1107
Switzerland,2016,121
Switzerland,2017,2150
Switzerland,2018,5954
Switzerland,2019,2717
Switzerland,2020,3063
Switzerland,2021,405
Switzerland,2022,5860
Bosnia and Herzegovina,2000,18633
Bosnia and Herzegovina,2001,3
Bosnia and Herzegovina,2002,150
Bosnia and Herzegovina,2003,17408
Bosnia and Herzegovina,2004,0
Bosnia and Herzegovina,2005,0
Bosnia and Herzegovina,2006,0
Bosnia and Herzegovina,2007,149
Bosnia and Herzegovina,2008,0
Bosnia and Herzegovina,2009,24
Bosnia and Herzegovina,2010,0
Bosnia and Herzegovina,2011,554
Bosnia and Herzegovina,2012,6692
Bosnia and Herzegovina,2013,947
Bosnia and Herzegovina,2014,1
Bosnia and Herzegovina,2015,447
Bosnia and Herzegovina,2016,0
Bosnia and Herzegovina,2017,2137
Bosnia and Herzegovina,2018,7
Bosnia and Herzegovina,2019,27
Bosnia and Herzegovina,2020,856
Bosnia and Herzegovina,2021,2000
Bosnia and Herzegovina,2022,24121
Montenegro,2000,1719
Montenegro,2001,0
Montenegro,2002,0
Montenegro,2003,874
Montenegro,2004,0
Montenegro,2005,0
Montenegro,2006,0
Montenegro,2007,0
Montenegro,2008,0
Montenegro,2009,0
Montenegro,2010,0
Montenegro,2011,405
Montenegro,2012,4054
Montenegro,2013,4
Montenegro,2014,0
Montenegro,2015,274
Montenegro,2016,0
Montenegro,2017,1090
Montenegro,2018,8
Montenegro,2019,36
Montenegro,2020,164
Montenegro,2021,575
Montenegro,2022,3446
North Macedonia,2000,1089
North Macedonia,2001,3519
North Macedonia,2002,0
North Macedonia,2003,3
North Macedonia,2004,0
North Macedonia,2005,0
North Macedonia,2006,0
North Macedonia,2007,328
North Macedonia,2008,0
North Macedonia,2009,0
North Macedonia,2010,0
North Macedonia,2011,1
North Macedonia,2012,484
North Macedonia,2013,3
North Macedonia,2014,0
North Macedonia,2015,0
North Macedonia,2016,0
North Macedonia,2017,1930
North Macedonia,2018,1
North Macedonia,2019,34
North Macedonia,2020,11
North Macedonia,2021,26
North Macedonia,2022,729
Albania,2000,1625
Albania,2001,205
Albania,2002,11
Albania,2003,2890
Albania,2004,0
Albania,2005,0
Albania,2006,0
Albania,2007,1445
Albania,2008,256
Albania,2009,1
Albania,2010,0
Albania,2011,219
Albania,2012,703
Albania,2013,0
Albania,2014,0
Albania,2015,647
Albania,2016,9
Albania,2017,4104
Albania,2018,35
Albania,2019,273
Albania,2020,643
Albania,2021,1465
Albania,2022,4290
Serbia,2000,32691
Serbia,2001,2962
Serbia,2002,237
Serbia,2003,4738
Serbia,2004,0
Serbia,2005,0
Serbia,2006,0
Serbia,2007,3671
Serbia,2008,0
Serbia,2009,46
Serbia,2010,0
Serbia,2011,481
Serbia,2012,14525
Serbia,2013,1583
Serbia,2014,8
Serbia,2015,419
Serbia,2016,0
Serbia,2017,2752
Serbia,2018,11
Serbia,2019,52
Serbia,2020,456
Serbia,2021,1333
Serbia,2022,12015
Türkiye,2000,25903
Türkiye,2001,56615
Türkiye,2002,9
Türkiye,2003,14298
Türkiye,2004,3350
Türkiye,2005,929
Türkiye,2006,7993
Türkiye,2007,109831
Türkiye,2008,106247
Türkiye,2009,1651
Türkiye,2010,5925
Türkiye,2011,96
Türkiye,2012,1536
Türkiye,2013,6851
Türkiye,2014,46583
Türkiye,2015,135
Türkiye,2016,20321
Türkiye,2017,49446
Türkiye,2018,6723
Türkiye,2019,12486
Türkiye,2020,24308
Türkiye,2021,149783
Türkiye,2022,64719
Kosovo (under United Nations Security Council Resolution 1244/99),2000,1287
Kosovo (under United Nations Security Council Resolution 1244/99),2001,403
Kosovo (under United Nations Security Council Resolution 1244/99),2002,2
Kosovo (under United Nations Security Council Resolution 1244/99),2003,155
Kosovo (under United Nations Security Council Resolution 1244/99),2004,0
Kosovo (under United Nations Security Council Resolution 1244/99),2005,0
Kosovo (under United Nations Security Council Resolution 1244/99),2006,0
Kosovo (under United Nations Security Council Resolution 1244/99),2007,0
Kosovo (under United Nations Security Council Resolution 1244/99),2008,0
Kosovo (under United Nations Security Council Resolution 1244/99),2009,0
Kosovo (under United Nations Security Council Resolution 1244/99),2010,0
Kosovo (under United Nations Security Council Resolution 1244/99),2011,47
Kosovo (under United Nations Security Council Resolution 1244/99),2012,1146
Kosovo (under United Nations Security Council Resolution 1244/99),2013,2
Kosovo (under United Nations Security Council Resolution 1244/99),2014,0
Kosovo (under United Nations Security Council Resolution 1244/99),2015,18
Kosovo (under United Nations Security Council Resolution 1244/99),2016,0
Kosovo (under United Nations Security Council Resolution 1244/99),2017,8
Kosovo (under United Nations Security Council Resolution 1244/99),2018,0
Kosovo (under United Nations Security Council Resolution 1244/99),2019,662
Kosovo (under United Nations Security Council Resolution 1244/99),2020,297
Kosovo (under United Nations Security Council Resolution 1244/99),2021,775
Kosovo (under United Nations Security Council Resolution 1244/99),2022,1210
